Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Output1
8.0,-18.0,9.0,4.0,5.0,0.0,0.16666666666666666,8.0,0.3333333333333333,-1.3333333333333333,0.0,1.0
9.0,-18.0,12.0,7.0,5.0,3.0,0.6666666666666666,8.0,0.3333333333333333,-1.0,1.0,0.0
9.0,-22.0,12.0,7.0,5.0,0.0,0.6666666666666666,7.0,0.3333333333333333,-1.5,1.0,0.0
10.0,-25.0,12.0,7.0,5.0,0.0,0.6666666666666666,7.0,0.5,-1.6666666666666667,0.0,0.5
11.0,-26.0,13.0,8.0,5.0,1.0,0.6666666666666666,6.0,0.6666666666666666,-1.8333333333333333,1.0,0.0
11.0,-31.0,13.0,8.0,5.0,0.0,0.6666666666666666,6.0,0.6666666666666666,-2.5,0.0,1.0
13.0,-32.0,16.0,8.0,8.0,3.0,1.1666666666666667,6.0,0.8333333333333334,-2.3333333333333335,0.0,0.0
13.0,-34.0,16.0,8.0,8.0,0.0,0.6666666666666666,14.0,0.6666666666666666,-2.6666666666666665,1.0,0.5
14.0,-35.0,17.0,8.0,9.0,1.0,0.8333333333333334,13.0,0.8333333333333334,-2.1666666666666665,0.0,1.0
15.0,-35.0,20.0,11.0,9.0,3.0,1.3333333333333333,13.0,0.8333333333333334,-1.6666666666666667,1.0,1.0
18.0,-36.0,23.0,14.0,9.0,3.0,1.6666666666666667,13.0,1.1666666666666667,-1.6666666666666667,1.0,0.5
19.0,-37.0,24.0,14.0,10.0,1.0,1.8333333333333333,13.0,1.3333333333333333,-1.0,0.0,1.0
20.0,-37.0,27.0,17.0,10.0,3.0,1.8333333333333333,13.0,1.1666666666666667,-0.8333333333333334,1.0,0.0
21.0,-41.0,27.0,17.0,10.0,0.0,1.8333333333333333,12.0,1.3333333333333333,-1.1666666666666667,0.0,1.0
25.0,-42.0,30.0,20.0,10.0,3.0,2.1666666666666665,12.0,1.8333333333333333,-1.1666666666666667,1.0,0.5
25.0,-42.0,31.0,20.0,11.0,1.0,1.8333333333333333,10.0,1.6666666666666667,-1.1666666666666667,0.0,0.0
3.0,0.0,3.0,0.0,3.0,3.0,3.0,10.0,3.0,0.0,0.0,1.0
4.0,0.0,6.0,3.0,3.0,3.0,3.0,8.0,2.0,0.0,1.0,0.5
4.0,0.0,7.0,4.0,3.0,1.0,2.3333333333333335,19.0,1.3333333333333333,0.0,1.0,0.0
4.0,-2.0,7.0,4.0,3.0,0.0,1.75,19.0,1.0,-0.5,0.0,0.5
5.0,-3.0,8.0,5.0,3.0,1.0,1.6,18.0,1.0,-0.6,1.0,0.5
5.0,-3.0,9.0,5.0,4.0,1.0,1.5,18.0,0.8333333333333334,-0.5,0.0,0.0
5.0,-7.0,9.0,5.0,4.0,0.0,1.0,18.0,0.3333333333333333,-1.1666666666666667,1.0,0.0
5.0,-9.0,9.0,5.0,4.0,0.0,0.5,18.0,0.16666666666666666,-1.5,0.0,1.0
7.0,-10.0,12.0,8.0,4.0,3.0,0.8333333333333334,18.0,0.5,-1.6666666666666667,1.0,0.0
7.0,-13.0,12.0,8.0,4.0,0.0,0.8333333333333334,17.0,0.5,-1.8333333333333333,0.0,1.0
8.0,-13.0,15.0,11.0,4.0,3.0,1.1666666666666667,17.0,0.5,-1.6666666666666667,1.0,0.0
8.0,-17.0,15.0,11.0,4.0,0.0,1.0,16.0,0.5,-2.3333333333333335,0.0,0.0
9.0,-19.0,15.0,11.0,4.0,0.0,1.0,15.0,0.6666666666666666,-2.0,1.0,0.0
9.0,-24.0,15.0,11.0,4.0,0.0,1.0,14.0,0.6666666666666666,-2.5,0.0,0.0
