Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15,Input16,Input17,Input18,Input19,Input20,Input21,Input22,Output1,Output2,Output3
2.0,9.0,6.0,6.0,0.0,0.0,1.2,13.0,0.4,1.8,0.0,8.0,6.0,9.0,6.0,3.0,3.0,1.8,6.0,1.6,1.2,1.0,1.0,0.0,0.0
5.0,7.0,3.0,0.0,3.0,3.0,0.75,18.0,1.0,1.4,0.0,4.0,6.0,7.0,6.0,1.0,0.0,1.4,9.0,0.8,1.2,1.0,0.0,1.0,0.0
6.0,3.0,9.0,3.0,6.0,3.0,2.25,7.0,1.2,0.6,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.6,2.0,1.0,1.0,0.0,0.0
13.0,8.0,6.0,3.0,3.0,0.0,1.5,11.0,2.6,1.6,0.0,4.0,8.0,6.0,3.0,3.0,3.0,1.2,12.0,0.8,1.6,1.0,1.0,0.0,0.0
3.0,7.0,4.0,1.0,3.0,0.0,0.8,18.0,0.6,1.4,0.0,3.0,5.0,6.0,3.0,3.0,3.0,1.5,13.0,0.6,1.0,1.0,1.0,0.0,0.0
11.0,3.0,12.0,6.0,6.0,3.0,2.4,4.0,2.2,0.6,0.0,8.0,2.0,12.0,6.0,6.0,3.0,3.0,5.0,1.6,0.4,1.0,1.0,0.0,0.0
4.0,10.0,3.0,3.0,0.0,0.0,0.75,19.0,0.8,2.0,0.0,4.0,5.0,4.0,4.0,0.0,3.0,1.0,18.0,0.8,1.0,1.0,1.0,0.0,0.0
12.0,3.0,15.0,6.0,9.0,3.0,3.0,2.0,2.4,0.6,0.0,12.0,7.0,12.0,6.0,6.0,0.0,2.4,4.0,2.4,1.4,1.0,1.0,0.0,0.0
4.0,12.0,6.0,3.0,3.0,0.0,0.6,14.0,0.4,2.4,0.0,15.0,3.0,18.0,9.0,9.0,3.0,3.0,1.0,2.6,0.4,1.0,1.0,0.0,0.0
12.0,10.0,12.0,6.0,6.0,0.0,1.8,4.0,2.0,1.8,0.0,5.0,10.0,9.0,9.0,0.0,3.0,1.8,10.0,1.0,1.6,1.0,1.0,0.0,0.0
5.0,7.0,8.0,6.0,2.0,1.0,1.0,11.0,0.6,1.4,0.0,15.0,6.0,15.0,9.0,6.0,3.0,2.4,3.0,2.8,1.2,1.0,0.0,0.0,1.0
3.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,0.6,2.2,0.0,7.0,10.0,6.0,6.0,0.0,3.0,1.2,14.0,1.4,2.0,1.0,0.0,0.0,1.0
16.0,9.0,12.0,6.0,6.0,3.0,2.4,4.0,3.0,1.4,0.0,5.0,13.0,4.0,3.0,1.0,0.0,0.8,17.0,0.8,2.2,1.0,1.0,0.0,0.0
4.0,7.0,6.0,3.0,3.0,0.0,1.2,15.0,0.8,1.4,0.0,17.0,8.0,9.0,6.0,3.0,3.0,1.8,7.0,3.4,1.6,1.0,0.0,0.0,1.0
4.0,8.0,4.0,4.0,0.0,0.0,0.8,19.0,0.8,1.6,0.0,8.0,3.0,12.0,6.0,6.0,3.0,2.4,7.0,1.6,0.6,1.0,1.0,0.0,0.0
3.0,4.0,7.0,4.0,3.0,3.0,1.4,15.0,0.6,0.6,0.0,6.0,8.0,4.0,1.0,3.0,1.0,0.8,17.0,1.2,1.6,1.0,0.0,0.0,1.0
9.0,9.0,9.0,6.0,3.0,0.0,1.2,8.0,1.6,1.8,0.0,5.0,8.0,7.0,4.0,3.0,3.0,1.4,15.0,1.0,1.2,1.0,1.0,0.0,0.0
11.0,6.0,12.0,6.0,6.0,0.0,2.4,7.0,2.2,1.2,0.0,5.0,6.0,4.0,0.0,4.0,0.0,0.8,19.0,1.0,1.2,1.0,1.0,0.0,0.0
7.0,13.0,7.0,4.0,3.0,0.0,0.8,14.0,1.2,2.2,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,20.0,0.6,2.2,1.0,0.0,0.0,1.0
17.0,6.0,18.0,9.0,9.0,3.0,3.0,1.0,3.2,1.0,0.0,14.0,11.0,12.0,9.0,3.0,3.0,1.8,7.0,2.4,1.6,1.0,0.0,1.0,0.0
6.0,19.0,4.0,3.0,1.0,0.0,0.8,18.0,0.8,2.4,0.0,7.0,13.0,9.0,6.0,3.0,3.0,1.2,10.0,1.0,2.4,1.0,1.0,0.0,0.0
5.0,15.0,9.0,9.0,0.0,0.0,1.2,11.0,0.8,2.6,0.0,4.0,6.0,7.0,4.0,3.0,0.0,0.8,17.0,0.6,1.0,1.0,1.0,0.0,0.0
8.0,9.0,7.0,1.0,6.0,3.0,1.4,13.0,1.6,1.6,0.0,17.0,10.0,15.0,9.0,6.0,3.0,1.8,4.0,2.0,1.6,1.0,0.0,1.0,0.0
6.0,9.0,4.0,0.0,4.0,0.0,0.2,19.0,0.8,1.8,0.0,4.0,8.0,6.0,3.0,3.0,0.0,0.6,18.0,0.6,1.6,1.0,0.0,1.0,0.0
8.0,10.0,9.0,6.0,3.0,3.0,1.8,10.0,1.4,0.8,0.0,5.0,9.0,8.0,6.0,2.0,0.0,1.0,13.0,0.6,1.0,1.0,0.0,1.0,0.0
16.0,6.0,18.0,9.0,9.0,0.0,2.4,2.0,2.2,0.8,0.0,22.0,10.0,15.0,9.0,6.0,3.0,2.4,4.0,3.4,1.6,1.0,1.0,0.0,0.0
18.0,8.0,12.0,6.0,6.0,3.0,1.8,7.0,2.4,1.4,0.0,6.0,9.0,7.0,7.0,0.0,3.0,1.4,16.0,1.2,1.4,1.0,1.0,0.0,0.0
